observation_date,Unemployment,GDP,FDI,CPI,Labor_force,Unemployment_Males,Unemployment_Females,GDP_growth
1/1/1960,6.05,131022,103,-0.11,64.6,4.87,5.89,-3.739567415
4/1/1960,5.38,136488,75,0.57,66.84,3.73,5.93,4.171818473
7/1/1960,5.24,135021,101,0.23,67.52,3.77,5.98,-1.074819764
10/1/1960,5.79,139850,36,0.68,66.77,4.53,6.2,3.576480696
1/1/1961,7.99,132138,95, -   ,66.32,6.87,7.6,-5.5144798
4/1/1961,7.06,140168,114, -   ,67.7,5.1,7.82,6.076980127
7/1/1961,6.35,140509,64,0.56,68.08,4.3,7.58,0.243279493
10/1/1961,5.68,149394,38,0.11,67.15,4.03,6.35,6.323438356
1/1/1962,6.54,144274,56,0.22,66.22,5.23,6.66,-3.427179137
4/1/1962,5.54,150952,98,0.44,67.53,3.83,6.23,4.628692627
7/1/1962,5.24,150614,66,0.44,68.42,3.5,6.43,-0.223912237
10/1/1962,5.07,158078,126,0.22,67.67,3.5,5.81,4.955714608
1/1/1963,6.67,150949,71,0.11,67.35,5.4,6.58,-4.50979896
4/1/1963,5.84,158886,135,0.33,69.09,3.57,6.89,5.258067294
7/1/1963,5.29,159597,122,0.55,69.63,3.03,6.81,0.447490654
10/1/1963,5.15,168017,-97,0.43,69.1,3.4,6.1,5.275788392
1/1/1964,6.22,162413,86,0.22,68.5,4.47,6.8,-3.335376777
4/1/1964,5.41,170097,116,0.11,70.49,2.97,6.68,4.731148369
7/1/1964,4.78,171593,62,0.43,70.87,2.57,6.23,0.879498169
10/1/1964,4.58,180356,58,0.32,70.13,2.77,5.63,5.106851678
1/1/1965,5.49,173462,182,0.21,69.64,3.9,6.15,-3.822440063
4/1/1965,4.84,183818,-10,0.75,71.66,2.5,6.06,5.970183671
7/1/1965,4.22,185525,149,0.42,72.43,2.2,5.55,0.928635933
10/1/1965,3.78,199483,93,0.42,71.66,2.07,4.84,7.523514351
1/1/1966,4.26,191022,125,0.74,70.82,2.9,4.8,-4.241464185
4/1/1966,4.05,201635,116,1.15,72.86,1.83,5.44,5.555904555
7/1/1966,3.65,203439,-19,0.93,73.92,1.83,5.08,0.894685942
10/1/1966,3.37,217316,204,0.82,73.28,1.83,4.4,6.821209306
1/1/1967,4.15,204098,210,0.1,72.52,2.57,5.18,-6.082386939
4/1/1967,3.81,213246,220,0.81,73.95,1.83,5.09,4.482160531
7/1/1967,3.91,214456,143,0.9,75.61,1.67,5.74,0.567419787
10/1/1967,3.69,228140,125,0.9,74.93,1.67,5.05,6.380796061
1/1/1968,4.05,218405,357,1.18,74.05,2.37,4.91,-4.267116683
4/1/1968,3.56,234781,147,0.97,75.7,1.57,4.87,7.497996841
7/1/1968,3.64,235737,140,1.35,76.74,1.5,5.33,0.407187975
10/1/1968,3.19,251704,164,1.14,75.84,1.43,4.32,6.773226095
1/1/1969,3.65,238912,322,1.22,75.7,1.93,4.51,-5.082159997
4/1/1969,3.47,254764,239,1.67,77.23,1.47,4.81,6.635079025
7/1/1969,3.73,255302,264,1.46,78.87,1.53,5.32,0.211175833
10/1/1969,3.39,268638,438,1.44,78.24,1.53,4.41,5.22361752
1/1/1970,4.55,253998,610,1.33,78.02,2.77,5.17,-5.449712997
4/1/1970,4.75,268532,238,1.67,79.32,2.53,5.67,5.7220923
7/1/1970,5.27,268019,380,1.12,80.71,2.67,6.65,-0.191038684
10/1/1970,5.47,282764,236,1.37,80.15,3.07,6.37,5.501475642
1/1/1971,6.56,273782,225,0.76,79.77,4.33,6.99,-3.176500545
4/1/1971,5.92,291216,175,1.09,80.69,3.23,6.99,6.367840106
7/1/1971,6.07,291043,-292,1.07,82.42,3.27,7.65,-0.059406077
10/1/1971,5.62,308808,260,0.49,82.05,3.27,6.49,6.103909044
1/1/1972,6.43,299204,-209,0.73,82.23,4,6.71,-3.110023056
4/1/1972,5.68,318894,257,0.81,83.66,3.03,6.77,6.580794374
7/1/1972,5.66,319052,391,0.96,85.27,2.73,7.43,0.049546244
10/1/1972,4.99,341962,509,0.95,84.52,2.5,6.07,7.180647669
1/1/1973,5.51,333807,957,1.26,84.3,3.47,6.23,-2.384767898
4/1/1973,4.92,354356,1201,2.25,86.14,2.5,5.99,6.155952392
7/1/1973,4.87,354349,533,2.2,87.76,2.1,6.56,-0.001975415
10/1/1973,4.5,382865,109,2.3,87.63,2.13,5.62,8.047433462
1/1/1974,5.65,361840,1784,2.83,87.36,3.37,6.36,-5.491491779
4/1/1974,5.18,384120,539,2.82,88.61,2.7,6.23,6.157417643
7/1/1974,5.64,385975,1610,3.02,90.41,2.6,7.31,0.482922004
10/1/1974,6.24,413310,828,3,89.68,3.6,7.38,7.082064901
1/1/1975,9.21,391688,278,1.81,89.29,6.57,9.69,-5.231424355
4/1/1975,8.76,414253,870,1.53,90.47,5.83,9.52,5.760962807
7/1/1975,8.43,423323,86,2.13,92.26,5.17,9.79,2.189483239
10/1/1975,7.85,455641,1369,1.59,91.26,5.17,8.71,7.634359579
1/1/1976,8.59,441178,1472,0.97,91.24,5.93,9.04,-3.17420952
4/1/1976,7.45,465343,1086,1.26,92.85,4.6,8.25,5.477381012
7/1/1976,7.69,466535,999,1.59,94.85,4.53,9.37,0.256155137
10/1/1976,7.41,500358,790,1.16,94.11,4.73,8.32,7.249831202
1/1/1977,8.3,481996,980,1.72,93.92,5.77,8.82,-3.669772443
4/1/1977,7.01,515010,965,2.2,95.69,4.23,8.1,6.849434435
7/1/1977,6.9,526844,1023,1.44,97.47,3.67,8.65,2.29781946
10/1/1977,6.32,557979,760,1.09,97.23,3.7,7.57,5.909719006
1/1/1978,6.93,534990,1355,1.72,96.83,4.37,7.47,-4.120047529
4/1/1978,5.9,583171,2313,2.54,98.76,3.27,7.14,9.005962728
7/1/1978,6.06,596032,2620,2.38,100.69,3.03,7.84,2.205356576
10/1/1978,5.65,637402,1608,2.02,100.44,3.2,6.65,6.940902502
